customer_id,customer_past_returns,customer_past_chargebacks,product_category,item_price,quantity,order_value,payment_method,payment_attempts,order_date,delivery_days,delivery_date,billing_country,shipping_country,address_mismatch,is_returned,days_to_return,return_date,is_chargeback
4174,1,0,groceries,766.8848159565244,3,2300.6544478695732,upi,1,2025-10-11,10,2025-10-21,UAE,UAE,0,0,,,0
4507,0,0,electronics,13014.854628371033,1,13014.854628371033,credit_card,3,2025-02-26,4,2025-03-02,India,India,0,0,,,0
1860,1,0,home_furniture,2078.9001249482026,3,6236.700374844608,upi,1,2025-08-13,5,2025-08-18,India,India,0,0,,,0
2294,1,0,apparel,987.2971304134409,1,987.2971304134409,cod,1,2025-07-28,2,2025-07-30,India,India,0,1,16.0,2025-08-15,0
2130,1,0,apparel,465.1808637192669,1,465.1808637192669,upi,3,2025-05-21,6,2025-05-27,UK,UK,0,0,,,1
2095,0,0,electronics,26965.709663666796,2,53931.41932733359,debit_card,1,2025-01-19,4,2025-01-23,India,India,0,0,,,0
4772,3,0,apparel,1623.6752799107157,1,1623.6752799107157,credit_card,2,2025-02-08,4,2025-02-12,India,India,0,1,2.0,2025-02-14,0
4092,3,0,electronics,1309.981524251359,1,1309.981524251359,upi,1,2025-03-20,7,2025-03-27,India,India,0,1,2.0,2025-03-29,0
2638,4,1,apparel,1602.794268238609,2,3205.588536477218,upi,1,2025-10-20,2,2025-10-22,India,India,0,0,,,0
3169,0,0,groceries,803.7174635284368,3,2411.1523905853105,upi,2,2025-09-24,4,2025-09-28,India,India,0,0,,,0
1466,2,0,apparel,1935.4001007313168,4,7741.600402925267,cod,1,2025-04-07,4,2025-04-11,India,India,0,0,,,0
2238,2,0,groceries,1456.6446003894316,2,2913.2892007788632,cod,1,2025-07-23,5,2025-07-28,UK,UK,0,0,,,0
1330,0,0,groceries,1474.9040192254006,4,5899.616076901602,upi,1,2025-07-28,6,2025-08-03,UAE,UAE,0,0,,,0
2482,1,0,apparel,1722.7091388112199,3,5168.127416433659,credit_card,1,2025-07-05,5,2025-07-10,USA,USA,0,0,,,0
3135,2,0,books,1029.7053673707608,3,3089.1161021122825,cod,1,2025-06-25,7,2025-07-02,India,India,0,1,1.0,2025-07-03,0
4444,4,0,apparel,529.9475789738349,4,2119.7903158953395,debit_card,1,2025-02-16,14,2025-03-02,UAE,UAE,0,0,,,0
4171,1,0,books,684.2700846730829,4,2737.0803386923317,credit_card,1,2025-11-06,2,2025-11-08,India,India,0,0,,,0
3919,1,1,home_furniture,13738.551154867253,1,13738.551154867253,credit_card,1,2025-05-27,4,2025-05-31,India,India,0,0,,,0
4735,0,0,apparel,1824.7678128377806,3,5474.3034385133415,netbanking,1,2025-04-29,4,2025-05-03,India,India,0,0,,,0
1130,0,0,home_furniture,4999.059391856608,2,9998.118783713217,credit_card,1,2025-11-16,6,2025-11-22,India,India,0,0,,,0
2685,0,0,books,168.92378493507204,2,337.84756987014407,debit_card,1,2025-03-07,3,2025-03-10,Singapore,Singapore,0,0,,,0
4380,0,0,home_furniture,8040.051049216197,3,24120.15314764859,debit_card,1,2025-01-16,2,2025-01-18,India,India,0,0,,,0
1769,2,0,groceries,989.0816217908002,4,3956.326487163201,credit_card,1,2025-10-28,2,2025-10-30,India,India,0,0,,,0
